order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2330570,273,prior,11,0,17,14.0
2403676,273,prior,12,1,13,22.0
1701059,273,prior,13,0,15,27.0
1054460,273,prior,14,6,14,13.0
1280089,273,prior,15,1,10,9.0
1860318,273,prior,16,1,12,0.0
1862849,273,prior,17,0,16,20.0
377696,273,prior,18,0,15,14.0
504067,273,prior,19,1,18,8.0
2014989,273,train,20,0,20,13.0
48235,274,prior,1,5,18,
2944451,274,prior,2,0,18,30.0
2022162,274,prior,3,6,19,30.0
125467,274,prior,4,3,19,18.0
1305973,274,prior,5,2,18,27.0
1834395,274,prior,6,5,18,3.0
2163256,274,prior,7,3,15,30.0
1566097,274,prior,8,2,13,6.0
2968208,274,prior,9,5,8,3.0
517381,274,prior,10,5,13,21.0
2876532,274,prior,11,4,10,30.0
1355028,274,prior,12,5,14,1.0
1143314,274,prior,13,6,18,15.0
2838263,274,prior,14,3,13,18.0
2726815,274,test,15,5,14,30.0
794089,286,prior,1,1,8,
1299589,286,prior,2,3,7,16.0
2332271,286,prior,3,6,14,3.0
3529,286,train,4,4,9,19.0
1985250,309,prior,1,0,13,
1988742,309,prior,2,1,20,1.0
2505773,309,prior,3,2,14,1.0
2162356,309,prior,4,3,9,1.0
1038928,309,prior,5,3,13,0.0
3243661,309,prior,6,3,19,0.0
993264,309,prior,7,4,13,1.0
3214695,309,prior,8,5,8,1.0
1006930,309,prior,9,0,8,2.0
694432,309,prior,10,1,10,1.0
501294,309,prior,11,3,9,2.0
1109555,309,prior,12,4,8,1.0
556172,309,prior,13,5,8,1.0
762318,309,prior,14,0,16,2.0
46306,309,prior,15,1,12,1.0
2502918,309,prior,16,1,18,0.0
3233811,309,prior,17,3,7,2.0
2001259,309,prior,18,4,7,1.0
2916422,309,prior,19,4,17,0.0
2889091,309,prior,20,0,10,3.0
1266404,309,prior,21,1,8,1.0
2400863,309,prior,22,2,8,1.0
1484348,309,prior,23,3,8,1.0
2359131,309,prior,24,3,12,0.0
608969,309,prior,25,3,15,0.0
2600069,309,train,26,4,13,1.0
673175,420,prior,1,0,18,
1152087,420,prior,2,4,18,18.0
58188,420,prior,3,6,13,23.0
858092,420,prior,4,1,19,30.0
119314,420,prior,5,3,19,16.0
1178370,420,prior,6,0,17,30.0
2839173,420,prior,7,5,13,30.0
1140863,420,prior,8,3,18,5.0
1505091,420,prior,9,6,16,3.0
1739100,420,prior,10,3,12,4.0
1151023,420,prior,11,4,12,8.0
1981281,420,prior,12,1,11,4.0
2643554,420,prior,13,4,14,3.0
1071449,420,prior,14,5,19,1.0
85374,420,prior,15,1,14,10.0
3180788,420,prior,16,2,18,1.0
2712773,420,prior,17,5,14,17.0
2173349,420,prior,18,3,14,5.0
2322536,420,prior,19,2,10,6.0
957692,420,prior,20,1,12,6.0
2332460,420,prior,21,5,17,11.0
2903145,420,prior,22,4,9,6.0
1266894,420,test,23,5,7,8.0
60788,550,prior,1,6,10,
210731,550,prior,2,0,7,30.0
1449102,550,prior,3,1,12,8.0
2216159,550,prior,4,2,11,8.0
1608919,550,train,5,3,13,8.0
2186459,574,prior,1,1,22,
1091355,574,prior,2,6,13,30.0
1136851,574,prior,3,0,13,8.0
2815610,574,prior,4,0,16,7.0
2349486,574,prior,5,1,17,8.0
822269,574,prior,6,1,12,30.0
2954322,574,prior,7,5,14,11.0
293312,574,prior,8,0,11,9.0
268582,574,prior,9,0,9,21.0
1820372,574,prior,10,1,16,15.0
2192593,574,prior,11,0,14,20.0
599014,574,test,12,1,16,8.0
291113,598,prior,1,4,7,
1960348,598,prior,2,0,12,3.0
951891,598,prior,3,6,17,6.0
825496,598,prior,4,1,13,2.0
1598848,598,prior,5,5,16,11.0
1763582,598,prior,6,3,15,26.0
3191628,598,prior,7,5,14,9.0
3409156,598,test,8,4,11,20.0
356373,810,prior,1,0,19,
329405,810,prior,2,6,16,20.0
1549886,810,prior,3,0,17,8.0
420520,810,test,4,0,16,30.0
2672894,860,prior,1,0,15,
2155108,860,prior,2,0,12,14.0
1219617,860,prior,3,2,10,9.0
2336911,860,prior,4,0,15,26.0
835022,860,prior,5,1,8,15.0
784530,860,prior,6,6,17,12.0
1784144,860,prior,7,1,13,16.0
347403,860,prior,8,5,12,30.0
294872,860,prior,9,2,18,11.0
3315716,860,prior,10,5,12,10.0
2394773,860,prior,11,6,17,8.0
1291279,860,prior,12,6,22,14.0
1379361,860,prior,13,2,13,17.0
2711483,860,prior,14,1,10,20.0
2126222,860,prior,15,1,10,7.0
1929661,860,prior,16,1,10,7.0
1567454,860,prior,17,0,19,20.0
446493,860,prior,18,5,14,5.0
2741375,860,prior,19,1,9,3.0
1199748,860,test,20,1,19,21.0
890671,950,prior,1,4,8,
320375,950,prior,2,2,7,12.0
2168833,950,prior,3,3,9,1.0
1155858,950,prior,4,1,12,12.0
836192,950,prior,5,1,9,30.0
1361636,950,prior,6,5,13,25.0
177474,950,prior,7,1,9,17.0
318850,950,prior,8,2,13,15.0
2608157,950,prior,9,4,11,16.0
2568728,950,prior,10,2,7,19.0
115435,950,prior,11,2,8,7.0
1752693,950,prior,12,0,12,12.0
889235,950,prior,13,3,14,17.0
1050711,950,prior,14,2,9,20.0
1756527,950,prior,15,0,14,30.0
3339284,950,train,16,1,13,30.0
1226754,989,prior,1,2,13,
839922,989,prior,2,1,6,20.0
1957466,989,prior,3,5,16,11.0
395208,989,train,4,3,11,5.0
2022524,1037,prior,1,1,14,
3051719,1037,prior,2,6,16,30.0
1585184,1037,prior,3,2,17,24.0
1102074,1037,prior,4,0,13,5.0
2494459,1037,prior,5,1,10,8.0
2513383,1037,prior,6,0,18,20.0
3255933,1037,prior,7,6,18,30.0
1970457,1037,test,8,5,17,30.0
2258526,1091,prior,1,0,13,
2154206,1091,prior,2,0,12,30.0
1598105,1091,prior,3,6,12,13.0
504490,1091,prior,4,6,16,28.0
1060258,1091,prior,5,0,15,15.0
51155,1091,train,6,3,10,30.0
1571748,1157,prior,1,1,18,
1021881,1157,prior,2,1,8,7.0
2814220,1157,prior,3,3,18,2.0
1322342,1157,prior,4,0,8,4.0
2278080,1157,prior,5,0,16,0.0
1766114,1157,prior,6,2,9,2.0
3138678,1157,prior,7,6,10,4.0
630352,1157,prior,8,5,23,6.0
1034671,1157,prior,9,1,19,3.0
2666628,1157,prior,10,3,14,2.0
612052,1157,prior,11,1,15,5.0
1529550,1157,prior,12,6,14,12.0
1651312,1157,prior,13,1,15,2.0
2443278,1157,prior,14,3,18,9.0
2573301,1157,prior,15,1,15,5.0
1489846,1157,train,16,0,17,13.0
2411714,1225,prior,1,3,22,
2108387,1225,prior,2,0,10,4.0
1438919,1225,prior,3,0,13,14.0
739346,1225,prior,4,0,14,30.0
3098072,1225,prior,5,6,13,20.0
19305,1225,prior,6,0,10,15.0
2157648,1225,prior,7,6,17,13.0
2970309,1225,prior,8,6,18,7.0
2038815,1225,prior,9,2,17,3.0
2602361,1225,prior,10,0,19,5.0
238320,1225,prior,11,1,10,22.0
1664929,1225,prior,12,1,18,0.0
3379260,1225,prior,13,5,20,4.0
316386,1225,prior,14,2,10,4.0
3338926,1225,prior,15,6,23,4.0
2625912,1225,prior,16,3,7,4.0
1497845,1225,prior,17,1,16,5.0
2295839,1225,prior,18,1,12,28.0
2968634,1225,prior,19,0,11,20.0
715837,1225,prior,20,2,10,30.0
1863253,1225,prior,21,3,9,8.0
2989706,1225,prior,22,4,10,15.0
1891639,1225,prior,23,6,11,2.0
2885813,1225,prior,24,0,13,8.0
2729920,1225,prior,25,0,16,14.0
2570986,1225,prior,26,0,10,7.0
1417318,1225,test,27,0,12,30.0
1248705,1301,prior,1,5,17,
2327792,1301,prior,2,0,13,30.0
2110381,1301,prior,3,6,11,13.0
1267024,1301,prior,4,3,13,4.0
734737,1301,prior,5,6,13,30.0
2680509,1301,prior,6,3,16,30.0
979795,1301,prior,7,6,8,24.0
1807620,1301,prior,8,1,8,9.0
2400628,1301,prior,9,2,18,30.0
1419869,1301,prior,10,6,14,25.0
281488,1301,prior,11,4,14,12.0
313038,1301,prior,12,5,18,29.0
566254,1301,train,13,0,15,16.0
2354070,1394,prior,1,2,14,
2621395,1394,prior,2,1,17,30.0
2978753,1394,prior,3,1,10,7.0
3384260,1394,prior,4,0,9,27.0
3131501,1394,prior,5,4,19,30.0
1680702,1394,prior,6,1,9,25.0
3295959,1394,prior,7,3,19,30.0
1673616,1394,train,8,0,14,18.0
2993921,1412,prior,1,5,15,
2495334,1412,prior,2,5,10,14.0
2062086,1412,prior,3,3,17,5.0
2361396,1412,prior,4,2,18,6.0
3385556,1412,prior,5,4,13,2.0
2336879,1412,prior,6,4,13,0.0
3021648,1412,prior,7,3,10,20.0
3354823,1412,prior,8,1,15,19.0
2619284,1412,prior,9,4,9,10.0
726732,1412,prior,10,3,11,13.0
2017945,1412,prior,11,0,14,18.0
3220547,1412,prior,12,5,11,12.0
1626240,1412,prior,13,5,12,28.0
3107347,1412,prior,14,3,17,26.0
2183505,1412,prior,15,4,9,30.0
1772592,1412,prior,16,2,17,5.0
711896,1412,prior,17,1,9,20.0
1710638,1412,prior,18,5,13,4.0
2512598,1412,prior,19,2,17,18.0
416246,1412,prior,20,3,12,29.0
499012,1412,prior,21,2,11,6.0
2066707,1412,prior,22,4,12,9.0
2523174,1412,train,23,4,11,30.0
2333314,1418,prior,1,0,8,
988769,1418,prior,2,4,12,30.0
807572,1418,prior,3,4,2,30.0
1739885,1418,prior,4,0,11,30.0
2347130,1418,prior,5,0,18,7.0
2361104,1418,prior,6,6,19,20.0
2299949,1418,prior,7,3,12,30.0
3384808,1418,prior,8,6,11,10.0
670291,1418,prior,9,2,15,30.0
2682379,1418,prior,10,4,17,23.0
2017484,1418,prior,11,1,15,11.0
2886510,1418,train,12,6,23,12.0
3104385,1458,prior,1,2,14,
3146591,1458,prior,2,2,15,30.0
985633,1458,prior,3,6,9,30.0
2921934,1458,prior,4,1,16,9.0
2621116,1458,prior,5,2,18,30.0
327073,1458,prior,6,5,0,3.0
3343542,1458,train,7,5,8,0.0
2522890,1649,prior,1,0,19,
2333603,1649,prior,2,5,13,30.0
2758092,1649,prior,3,0,21,30.0
572727,1649,test,4,0,12,30.0
2027876,1749,prior,1,4,17,
355534,1749,prior,2,1,12,4.0
3033448,1749,prior,3,3,16,23.0
689717,1749,prior,4,2,14,6.0
836563,1749,prior,5,3,12,8.0
168480,1749,prior,6,5,16,30.0
3134507,1749,prior,7,3,18,12.0
1815402,1749,prior,8,1,15,5.0
1038947,1749,prior,9,2,11,15.0
1759310,1749,test,10,5,15,30.0
2686353,1773,prior,1,4,22,
79041,1773,prior,2,6,22,9.0
2957853,1773,prior,3,0,0,8.0
3304574,1773,prior,4,6,13,6.0
1922762,1773,prior,5,6,11,7.0
1645013,1773,prior,6,0,14,8.0
3190404,1773,prior,7,0,15,7.0
483575,1773,prior,8,0,13,14.0
3390062,1773,train,9,6,8,13.0
2970888,1791,prior,1,4,20,
185388,1791,prior,2,0,19,3.0
1536730,1791,prior,3,4,19,4.0
3141012,1791,prior,4,0,18,30.0
698137,1791,prior,5,4,16,11.0
2432903,1791,prior,6,5,9,30.0
51693,1791,prior,7,0,16,16.0
2925564,1791,prior,8,0,12,7.0
1705121,1791,prior,9,3,16,10.0
2704059,1791,prior,10,0,11,4.0
1318583,1791,prior,11,2,18,9.0
2919307,1791,prior,12,2,17,14.0
1403850,1791,prior,13,1,15,6.0
1724754,1791,prior,14,0,20,30.0
1959430,1791,train,15,0,18,7.0
1524325,1827,prior,1,0,21,
241991,1827,prior,2,0,14,30.0
3021250,1827,prior,3,2,19,9.0
961949,1827,train,4,0,21,30.0
3394685,1838,prior,1,4,16,
1875586,1838,prior,2,4,18,7.0
712622,1838,prior,3,4,12,14.0
144036,1838,prior,4,3,12,6.0
1176090,1838,prior,5,3,13,7.0
2393495,1838,prior,6,3,11,7.0
2680449,1838,prior,7,1,13,5.0
2795590,1838,prior,8,0,18,20.0
2388662,1838,prior,9,2,15,9.0
3362985,1838,prior,10,3,18,8.0
76385,1838,prior,11,5,13,9.0
498249,1838,prior,12,6,12,15.0
2078587,1838,prior,13,0,17,15.0
2318585,1838,prior,14,1,13,8.0
3107825,1838,prior,15,2,8,8.0
2963140,1838,prior,16,5,12,3.0
2121673,1838,prior,17,1,22,10.0
3012470,1838,prior,18,4,17,10.0
1853524,1838,prior,19,1,12,4.0
1067270,1838,prior,20,4,9,10.0
357857,1838,prior,21,6,14,2.0
491262,1838,prior,22,0,7,8.0
2364324,1838,prior,23,5,11,26.0
958596,1838,prior,24,2,13,4.0
2921179,1838,prior,25,1,16,6.0
1948896,1838,prior,26,2,12,15.0
1346901,1838,prior,27,6,10,30.0
2659897,1838,prior,28,4,14,12.0
260826,1838,prior,29,2,14,5.0
3215278,1838,prior,30,2,14,30.0
1873298,1838,train,31,4,13,9.0
3069998,1902,prior,1,5,12,
994577,1902,prior,2,5,15,21.0
519794,1902,prior,3,0,10,16.0
1302368,1902,prior,4,3,14,3.0
928627,1902,test,5,0,9,18.0
2021676,1923,prior,1,6,12,
2864616,1923,prior,2,4,10,19.0
2461434,1923,prior,3,5,13,8.0
398277,1923,prior,4,5,14,28.0
427986,1923,prior,5,0,16,16.0
2511819,1923,prior,6,1,13,15.0
466074,1923,prior,7,4,13,24.0
2300459,1923,prior,8,2,14,12.0
1990832,1923,prior,9,3,10,15.0
186594,1923,prior,10,4,16,30.0
1831523,1923,prior,11,2,8,30.0
1852536,1923,prior,12,5,14,3.0
96647,1923,prior,13,0,15,9.0
12602,1923,prior,14,6,10,6.0
2196694,1923,prior,15,0,11,15.0
3301118,1923,prior,16,0,8,7.0
3411729,1923,prior,17,1,8,22.0
3298721,1923,prior,18,0,9,6.0
1441471,1923,prior,19,0,10,14.0
1479671,1923,prior,20,1,8,15.0
997090,1923,prior,21,1,16,14.0
362112,1923,train,22,0,6,13.0
1299283,1924,prior,1,6,18,
1851174,1924,prior,2,5,9,30.0
857254,1924,prior,3,2,11,30.0
242298,1924,prior,4,5,6,3.0
2365916,1924,prior,5,0,7,2.0
2497886,1924,prior,6,0,8,14.0
2589976,1924,prior,7,6,10,20.0
2342954,1924,prior,8,6,18,7.0
684308,1924,prior,9,2,9,17.0
1868625,1924,prior,10,1,8,6.0
2928383,1924,prior,11,3,7,16.0
1349789,1924,prior,12,1,21,19.0
731607,1924,prior,13,6,15,12.0
1530958,1924,prior,14,1,14,2.0
261104,1924,prior,15,5,8,4.0
3110704,1924,prior,16,0,11,2.0
596622,1924,prior,17,5,7,30.0
1633498,1924,train,18,3,12,30.0
2890529,1934,prior,1,5,1,
347149,1934,prior,2,2,11,4.0
3161721,1934,prior,3,4,8,9.0
1327470,1934,prior,4,3,20,30.0
714813,1934,test,5,5,9,2.0
1248598,1977,prior,1,6,13,
1096256,1977,prior,2,5,22,27.0
1733719,1977,prior,3,6,15,29.0
1365320,1977,prior,4,3,21,11.0
1463314,1977,prior,5,2,11,30.0
66382,1977,prior,6,0,10,26.0
3082230,1977,prior,7,2,17,9.0
2142476,1977,prior,8,2,13,7.0
316619,1977,prior,9,0,16,5.0
3332985,1977,prior,10,3,12,10.0
1264995,1977,prior,11,2,14,6.0
1950741,1977,test,12,2,10,14.0
1542776,2000,prior,1,1,19,
1457898,2000,prior,2,2,20,8.0
3159304,2000,prior,3,5,22,3.0
2853027,2000,prior,4,0,19,9.0
916220,2000,prior,5,4,9,11.0
1747526,2000,prior,6,3,13,13.0
392768,2000,prior,7,0,15,11.0
1719017,2000,prior,8,4,17,4.0
2895590,2000,prior,9,4,9,14.0
1291091,2000,prior,10,3,16,6.0
2713679,2000,train,11,6,16,17.0
2696637,2003,prior,1,2,16,
1281519,2003,prior,2,2,11,7.0
3357551,2003,prior,3,3,11,30.0
2693839,2003,prior,4,2,11,30.0
3071570,2003,prior,5,3,12,29.0
2044997,2003,prior,6,4,7,15.0
1025068,2003,prior,7,2,8,5.0
927784,2003,test,8,2,8,30.0
3209004,2114,prior,1,0,15,
1659190,2114,prior,2,4,19,11.0
1282700,2114,prior,3,3,10,13.0
3052551,2114,prior,4,1,12,12.0
3096055,2114,prior,5,2,9,15.0
892810,2114,prior,6,6,16,30.0
3104337,2114,prior,7,1,12,30.0
1070633,2114,prior,8,6,9,26.0
535165,2114,prior,9,0,15,1.0
2557415,2114,prior,10,1,12,8.0
2551809,2114,prior,11,6,9,5.0
427645,2114,prior,12,6,13,7.0
3240884,2114,prior,13,6,15,14.0
241095,2114,prior,14,1,12,16.0
2556493,2114,test,15,5,10,4.0
562203,2153,prior,1,1,18,
1092261,2153,prior,2,2,18,1.0
2704024,2153,prior,3,6,14,4.0
1764510,2153,prior,4,2,20,3.0
3362994,2153,prior,5,1,17,6.0
498504,2153,prior,6,6,20,5.0
2987094,2153,prior,7,0,12,1.0
2048969,2153,prior,8,1,11,1.0
3008089,2153,prior,9,1,19,0.0
2067176,2153,prior,10,0,20,6.0
1328562,2153,prior,11,0,16,21.0
1018248,2153,prior,12,0,17,7.0
1948653,2153,prior,13,4,12,18.0
118635,2153,prior,14,4,10,30.0
61603,2153,prior,15,4,17,30.0
1407512,2153,prior,16,4,19,0.0
2335713,2153,prior,17,6,16,9.0
1165567,2153,train,18,0,11,8.0
3019756,2168,prior,1,0,15,
189942,2168,prior,2,4,13,25.0
1199178,2168,prior,3,3,13,30.0
2590333,2168,prior,4,3,17,0.0
3327701,2168,prior,5,1,9,26.0
1495918,2168,prior,6,5,18,4.0
1134099,2168,prior,7,1,16,3.0
3004847,2168,prior,8,4,16,10.0
1265627,2168,prior,9,5,15,8.0
436882,2168,prior,10,6,15,15.0
2955976,2168,prior,11,2,13,10.0
1621698,2168,prior,12,6,16,11.0
180907,2168,prior,13,4,15,12.0
1884213,2168,prior,14,2,9,5.0
2968388,2168,prior,15,0,14,12.0
1158073,2168,prior,16,2,12,16.0
1163021,2168,prior,17,4,16,23.0
221182,2168,prior,18,1,10,11.0
1869306,2168,prior,19,3,14,9.0
3186984,2168,prior,20,0,12,30.0
1554602,2168,train,21,4,12,30.0
2742544,2234,prior,1,1,0,
3208950,2234,prior,2,4,8,30.0
395817,2234,prior,3,1,14,4.0
346948,2234,prior,4,3,9,2.0
2453188,2234,prior,5,3,11,7.0
3226718,2234,prior,6,6,17,10.0
3266482,2234,prior,7,6,6,7.0
1458933,2234,prior,8,0,10,8.0
2825427,2234,prior,9,2,5,9.0
1580403,2234,prior,10,4,13,30.0
2622489,2234,prior,11,5,15,22.0
911355,2234,prior,12,0,10,2.0
1177522,2234,prior,13,5,15,5.0
1784867,2234,prior,14,2,14,4.0
870323,2234,prior,15,6,6,4.0
2195465,2234,train,16,6,21,14.0
2810967,2236,prior,1,5,7,
2787230,2236,prior,2,1,7,30.0
3098942,2236,prior,3,3,8,2.0
1308085,2236,prior,4,2,9,27.0
293325,2236,prior,5,1,10,30.0
2701869,2236,train,6,5,13,25.0
2917490,2265,prior,1,3,16,
1844740,2265,prior,2,1,10,26.0
548666,2265,prior,3,2,8,8.0
2030052,2265,prior,4,6,12,18.0
403512,2265,prior,5,6,7,21.0
642009,2265,prior,6,3,20,25.0
344420,2265,prior,7,4,15,30.0
3210433,2265,prior,8,3,6,13.0
280806,2265,test,9,0,9,25.0
2512511,2380,prior,1,3,21,
1081242,2380,prior,2,5,16,30.0
1035459,2380,prior,3,6,19,30.0
452244,2380,prior,4,1,16,23.0
2165729,2380,prior,5,6,18,30.0
1324991,2380,prior,6,0,19,22.0
457786,2380,train,7,0,14,14.0
1111659,2430,prior,1,4,11,
1856017,2430,prior,2,2,17,12.0
2978284,2430,prior,3,3,23,8.0
2275930,2430,prior,4,5,9,23.0
2596936,2430,prior,5,3,15,30.0
671941,2430,prior,6,4,10,30.0
337322,2430,prior,7,5,9,22.0
1087452,2430,test,8,4,12,6.0
918471,2499,prior,1,6,12,
1889728,2499,prior,2,4,13,30.0
2316874,2499,prior,3,4,13,0.0
54804,2499,train,4,1,16,30.0
2910032,2539,prior,1,6,8,
2617196,2539,prior,2,0,9,8.0
1985726,2539,prior,3,6,15,13.0
84601,2539,prior,4,1,10,9.0
2832895,2539,prior,5,3,10,16.0
2948408,2539,prior,6,6,9,10.0
1529417,2539,prior,7,4,10,5.0
3271360,2539,prior,8,4,23,7.0
2069349,2539,prior,9,0,7,10.0
776767,2539,prior,10,2,19,16.0
1220630,2539,prior,11,1,10,20.0
17898,2539,prior,12,3,8,9.0
2044169,2539,prior,13,2,20,13.0
740164,2539,prior,14,2,10,7.0
1003019,2539,prior,15,3,6,8.0
174598,2539,prior,16,2,6,6.0
347691,2539,prior,17,0,15,12.0
2466855,2539,prior,18,3,8,10.0
445135,2539,prior,19,4,8,8.0
2974750,2539,prior,20,1,7,4.0
2894552,2539,prior,21,0,13,6.0
1929772,2539,prior,22,1,8,8.0
1198672,2539,prior,23,5,20,4.0
450341,2539,prior,24,3,20,5.0
2977697,2539,prior,25,2,18,6.0
600028,2539,prior,26,3,17,8.0
3110273,2539,prior,27,5,9,9.0
2070544,2539,prior,28,0,10,2.0
2524914,2539,prior,29,5,19,5.0
180094,2539,prior,30,6,19,1.0
2553858,2539,prior,31,5,18,6.0
257798,2539,prior,32,1,9,3.0
599873,2539,prior,33,1,7,7.0
1126675,2539,prior,34,0,16,6.0
1274558,2539,prior,35,3,15,3.0
2965484,2539,prior,36,1,17,5.0
2674677,2539,prior,37,4,9,3.0
2770015,2539,prior,38,4,8,7.0
1855193,2539,prior,39,2,15,5.0
1355181,2539,prior,40,4,16,9.0
2423466,2539,prior,41,2,9,5.0
3217831,2539,prior,42,0,11,5.0
1208765,2539,prior,43,4,18,4.0
2725577,2539,prior,44,3,6,6.0
176180,2539,prior,45,1,9,5.0
678722,2539,prior,46,1,8,7.0
582308,2539,prior,47,1,10,0.0
1919425,2539,prior,48,6,8,5.0
74537,2539,prior,49,5,10,6.0
494693,2539,prior,50,1,7,3.0
2117855,2539,test,51,4,19,3.0
601139,2572,prior,1,0,9,
2560378,2572,prior,2,0,16,7.0
1400147,2572,prior,3,2,10,30.0
287352,2572,prior,4,2,9,7.0
2787864,2572,prior,5,0,15,30.0
3168780,2572,prior,6,0,15,21.0
1162820,2572,train,7,6,16,30.0
553366,2628,prior,1,6,20,
163612,2628,prior,2,1,15,2.0
1228810,2628,prior,3,4,12,3.0
3324816,2628,prior,4,1,13,4.0
1417681,2628,prior,5,6,18,5.0
687117,2628,prior,6,2,18,3.0
1083204,2628,prior,7,0,16,5.0
952798,2628,prior,8,4,16,11.0
2369309,2628,prior,9,2,20,5.0
1354127,2628,prior,10,3,18,1.0
1637676,2628,prior,11,6,18,10.0
3023407,2628,prior,12,6,16,7.0
2968454,2628,prior,13,6,13,7.0
349029,2628,prior,14,0,14,8.0
1205108,2628,prior,15,3,15,24.0
1424885,2628,prior,16,5,17,2.0
1841848,2628,prior,17,4,19,30.0
3050845,2628,prior,18,1,10,30.0
2650914,2628,prior,19,0,12,13.0
2582398,2628,prior,20,0,13,14.0
2923429,2628,prior,21,1,16,29.0
1353684,2628,train,22,5,14,4.0
2659630,2714,prior,1,6,17,
1268534,2714,prior,2,4,15,12.0
758402,2714,prior,3,4,17,7.0
2203168,2714,prior,4,2,12,5.0
3141157,2714,test,5,4,20,16.0
2951373,2742,prior,1,4,15,
2256829,2742,prior,2,2,20,19.0
2470344,2742,prior,3,6,8,30.0
572820,2742,prior,4,3,12,30.0
195879,2742,train,5,2,21,30.0
2618195,2768,prior,1,1,18,
2207487,2768,prior,2,3,15,2.0
2509211,2768,prior,3,0,18,4.0
835133,2768,prior,4,1,23,8.0
2493067,2768,prior,5,6,15,30.0
2545807,2768,prior,6,4,23,12.0
1494614,2768,prior,7,3,9,6.0
447953,2768,prior,8,5,10,2.0
2040049,2768,prior,9,5,12,30.0
461261,2768,prior,10,1,9,30.0
1604590,2768,train,11,4,16,30.0
91237,2783,prior,1,3,12,
235484,2783,prior,2,0,14,30.0
3020812,2783,prior,3,3,14,30.0
2266495,2783,train,4,4,13,30.0
1316731,2816,prior,1,2,10,
3190177,2816,prior,2,2,14,21.0
2224013,2816,prior,3,0,13,5.0
368656,2816,prior,4,0,8,14.0
1463025,2816,prior,5,3,14,10.0
259271,2816,prior,6,6,12,3.0
1014927,2816,prior,7,0,12,22.0
2928132,2816,prior,8,0,13,7.0
942277,2816,prior,9,3,15,17.0
1692186,2816,prior,10,0,12,18.0
2486824,2816,prior,11,3,14,17.0
2844818,2816,prior,12,1,11,19.0
1479000,2816,prior,13,5,11,11.0
960644,2816,prior,14,1,16,3.0
1086779,2816,prior,15,6,19,12.0
3394990,2816,prior,16,5,13,13.0
2333602,2816,train,17,3,14,30.0
2783550,2842,prior,1,0,10,
2637805,2842,prior,2,0,13,7.0
2410251,2842,prior,3,0,11,7.0
3229201,2842,prior,4,0,11,28.0
2297375,2842,train,5,3,15,30.0
2274820,2864,prior,1,0,21,
3339308,2864,prior,2,6,21,13.0
3179413,2864,prior,3,1,14,30.0
1949410,2864,prior,4,5,21,30.0
2936643,2864,prior,5,0,13,30.0
2986864,2864,train,6,2,10,30.0
1372615,2866,prior,1,5,9,
436593,2866,prior,2,3,9,12.0
1903975,2866,prior,3,5,9,9.0
1626650,2866,prior,4,2,10,18.0
593629,2866,prior,5,1,10,13.0
1788458,2866,prior,6,1,13,7.0
52442,2866,prior,7,4,17,3.0
2616391,2866,prior,8,1,13,4.0
1144350,2866,prior,9,5,15,4.0
1865780,2866,prior,10,2,15,4.0
2787357,2866,prior,11,1,12,6.0
3416781,2866,prior,12,5,11,11.0
92168,2866,prior,13,1,13,3.0
2608664,2866,prior,14,1,10,7.0
